,id,Sell," ""List"""," ""Living""",Rooms," ""Beds"""," ""Baths""",Age," ""Acres""",Taxes
0,0,142,160,28,10,5,3,,0.28,3167
1,1,175,180,18,8,4,1,12.0,0.43,4033
2,2,129,132,13,6,3,1,41.0,0.33,1471
3,3,138,140,17,7,3,1,22.0,0.46,3204
4,4,232,240,25,8,4,3,5.0,2.05,3613
5,5,135,140,18,7,4,3,9.0,0.57,3028
6,6,150,160,20,8,4,3,18.0,4.0,3131
7,7,207,225,22,8,4,2,16.0,2.22,5158
8,8,271,285,30,10,5,2,30.0,0.53,5702
9,9,89,90,10,5,3,1,43.0,0.3,2054
10,10,153,157,22,8,3,3,18.0,0.38,4127
11,11,87,90,16,7,3,1,50.0,0.65,1445
12,12,234,238,25,8,4,2,2.0,1.61,2087
13,13,106,116,20,8,4,1,13.0,0.22,2818
14,14,175,180,22,8,4,2,15.0,2.06,3917
15,15,165,170,17,8,4,2,33.0,0.46,2220
16,16,166,170,23,9,4,2,37.0,0.27,3498
17,17,136,140,19,7,3,1,22.0,0.63,3607
18,18,148,160,17,7,3,2,13.0,0.36,3648
19,19,151,153,19,8,4,2,24.0,0.34,3561
20,20,180,190,24,9,4,2,10.0,1.55,4681
21,21,293,305,26,8,4,3,6.0,0.46,7088
22,22,167,170,20,9,4,2,46.0,0.46,3482
23,23,190,193,22,9,5,2,37.0,0.48,3920
24,24,184,190,21,9,5,2,27.0,1.3,4162
25,25,157,165,20,8,4,2,7.0,0.3,3785
26,26,110,115,16,8,4,1,26.0,0.29,3103
27,27,135,145,18,7,4,1,35.0,0.43,3363
28,28,567,625,64,11,4,4,4.0,0.85,12193
29,29,180,185,20,8,4,2,11.0,1.0,3831
30,30,183,188,17,7,3,2,16.0,3.0,3564
31,31,185,193,20,9,3,2,56.0,6.49,3765
32,32,152,155,17,8,4,1,33.0,0.7,3361
33,33,148,153,13,6,3,2,22.0,0.39,3950
34,34,152,159,15,7,3,1,25.0,0.59,3055
35,35,146,150,16,7,3,1,31.0,0.36,2950
36,36,170,190,24,10,3,2,33.0,0.57,3346
38,38, ,270,36,10,6,3,33.0,1.2,5853
